Titulo;Anio;Genero;Duracion;Reparto 
Garagem de Mistérios - Culpado ou Inocente;2016;Drama, Ação, Suspense;88 minutos;Connor Stanhope,Eva Bourne,Jay Brazeau,Johannah Newmarch,Kevin O'Grady,Lori Loughlin,Sarah Strange,Steve Bacic,Peter DeLuise
Medo de Amar - 2ª Temporada;2013;Drama, Romance;6 episódios;Benjamin Sadler,Bojana Maljevic,Brigitte Christensen,Erica Banchi,Giorgio Lupano,Rosabell Laurenti Sellers,Teresa Acerbis,Vincenzo Terracciano
Assim é a Vida;2017;Comédia, Drama, Romance;115 minutos;Alban Ivanov,Benjamin Lavernhe,Eye Haïdara,Gilles Lellouche,Jean-Paul Rouve,Jean-Pierre Bacri,Suzanne Clément,Vincent Macaigne,Eric Toledano,Olivier Nakache
Alice Júnior;2019;Comédia;87 minutos;Altamar Cezar,Amanda Leal,Angélica Garcino,Anne Celestino Motta,Antonia Montemezzo,Cida Rolim,Emmanuel Rosset,Gretchen,Gustavo Piaskoski,Igor Augustho,Katia Horn,Marcel Szymanski,Matheus Moura,Megg Rayara Gomes de Oliveira,Melissa Locatelli,Paolla Torrilhas,Simone Klein,Surya Amitrano,Thaís Schier,Verônica Rodrigues,Gil Baroni
Tom Jobim - Ela é Carioca;2007;Shows, MPB;59 minutos;Tom Jobim,Roberto de Oliveira
Rachel Khoo’s - Kitchen Notebook - Cosmopolitan Cook - 1ª Temporada;2014;Aventura, Documentários;10 episódios;Rachel Khoo,Richard Hill
Transformers Prime - 2ª Temporada;2012;Animação, Aventura;26 episódios;Andy Pessoa,Frank Welker,Jeffrey Combs,Josh Keaton,Kevin Michael Richardson,Peter Cullen,Sumalee Montano,Tania Gunadi,Andy Kim,Ray Lee
Juventude - Crises, Cruzes e Luzes;2013;Fé e Espiritualidade;42 minutos;Pe. Zezinho,M. Ida Cappellari
Vício Inerente;2014;Policial, Drama;148 minutos;Benicio Del Toro,Joanna Newsom,Joaquin Phoenix,Josh Brolin,Katherine Waterston,Martin Short,Owen Wilson,Reese Witherspoon,Paul Thomas Anderson
Ataque ao Prédio;2011;Comédia, Ficção Científica;88 minutos;Alex Esmail,Franz Drameh,Jodie Whittaker,John Boyega,Jumayn Hunter,Leeon Jones,Luke Treadaway,Simon Howard,Joe Cornish
Habitar - Casa de Arquiteto;2013;Documentários, Educacional;52 minutos;Não Disponível,Paulo Markun,Sergio Roizenblit
Cai no Mundo Melhores Momentos da Vida - 2ª Temporada;2017;Documentário;15 episódios;Não Disponível,Vagner Alcantelado
Elas - Divas do Cinema - 3ª Temporada;2013;Documentário;10 episódios;Ana Kutner,Antonio Carlos da Fontoura,Bel Kutner,Carmen Carvalho Guimarães,Cecil Thiré,Clara Kutner,Joana Fomm,Julia Lemmertz,Luciana Vendramini,Norma Benguell,Ruth de Souza,Vera Nunes,Nelson Foerster
O Mestre da Vida;2006;Drama, Romance;107 minutos;Armin Mueller-Stahl,Charles Durning,Diana Scarwid,Julie Lott,Ray Liotta,Ron Perlman,Sophia Kiapos,Trevor Morgan,George Gallo
Sem Rastro - Sem Rastro;2017;Documentário, Drama;15 episódios;Cleber Queiroz,Juan Victor Gonçalvez,Karina dos Reis,Maria Eduarda,Pedro Galvão,Waldimir Lutério,Wiritien Wollt,Yasmin Melo,Anderson Jesus
Olá, Sou Eu;2015;Drama, Romance;85 minutos;Chad Connell,Erin Pitt,Jack Fulton,Janet-Laine Green,Kavan Smith,Kellie Martin,Kristi Angus,Rachael Crawford,Mark Jean
A Noite do Jogo;2018;Comédia, Ação, Policial;100 minutos;Jason Bateman,Jesse Plemons,Kyle Chandler,Lamorne Morris,Rachel McAdams,Sharon Horgan,John Francis Daley,Jonathan Goldstein
A Saga Crepúsculo - Amanhecer - Parte 1;2011;Drama, Romance;117 minutos;Ashley Greene,Billy Burke,Gil Birmingham,Jackson Rathbone,Kristen Stewart,Robert Pattinson,Sarah Clarke,Taylor Lautner,Bill Condon
Test Drive - 2ª Temporada;2016;Documentários;8 episódios;Não Disponível,Beto Ribeiro,Carla Albuquerque
Mad Dogs - 1ª Temporada;2011;Drama, Comédia, Policial;4 episódios;Ben Chaplin,John Simm,Leticia Dolera,Marc Warren,Max Beesley,Philip Glenister,Tim Woodward,Adrian Shergold,James Hawes
Feios, Sujos e Malvados;1976;Comédia, Drama;111 minutos;Alfredo D'Ippolito,Francesco Anniballi,Giancarlo Fanelli,Giselda Castrini,Maria Bosco,Maria Luisa Santella,Marina Fasoli,Nino Manfredi,Ettore Scola
Yu-Gi-Oh! O Lado Negro das Dimensões + Yu-Gi-Oh;2016;Animação, Aventura, Drama, Fantasia;128 minutos;Amy Birnbaum,Bethany Cardinal,Daniel J. Edwards,Gregory Abbey,Kenjirô Tsuda,Luis Alfonso,Michael Lockwood Crouch,Shunsuke Kazama,Satoshi Kuwabara
Deixados Para Trás II - Comando Tribulação;2002;Ação, Drama, Fantasia, Ficção Científica, Suspense;95 minutos;Brad Johnson,Chelsea Noble,Clarence Gilyard Jr.,Gordon Currie,Janaya Stephens,Kirk Cameron,Krista Bridges,Lubomir Mykytiuk,Bill Corcoran
Alabê Ôni;2013;Shows, Fé e Espiritualidade, Regional;30 minutos;Kako Xavier,Mimmo Ferreira,Pingo Borel,Richard Serraria,Daniel Pereira
Um Verão em Vênus;2013;Curta-Metragem, Drama, Romance;16 minutos;Evandro Scorsin,Morgana Horst,Evandro Scorsin
Constantine - Cidade de Demônios - O Filme;2018;Animação, Ação, Fantasia;90 minutos;Jim Meskimen,Kevin Michael Richardson,Laura Bailey,Matt Ryan,Doug Murphy
Rei Arthur - A Lenda da Espada;2017;Ação, Aventura;126 minutos;Aidan Gillen,Astrid Bergès-Frisbey,Charlie Hunnam,Djimon Hounsou,Eric Bana,Freddie Fox,Jude Law,Katie McGrath,Guy Ritchie
Mesa Pra Dois;2016;Terror, Crime, Curta-Metragem, Suspense;4 minutos;Danilo Ferraz,Patty Fang,Marcos DeBrito
Halloween 3 - A Noite das Bruxas;1982;Terror, Suspense;97 minutos;Dan O'Herlihy,Jadeen Barbor,Michael Currie,Nancy Kyes,Ralph Strait,Stacey Nelkin,Tom Atkins,Tommy Lee Wallace
Herança Maldita;2008;Terror, Drama;77 minutos;Aiden Kersh,Colleen Porch,Gene Witham,Holden Thomas Maynard,Joel Bryant,Kali Majors,Ridge Canipe,Sean Johnson,Lars Jacobson
Torneio de Amor;1961;Clássico, Comédia;89 minutos;Brigitte Bardot,Claude Brasseur,Edith Zetline,Jacques Riberolles,Joséphine James,Michel Subor,Mireille Darc,Serge Marquand,Roger Vadim
O Melhor do Rock in Rio;2011;Shows, Rock Nacional;64 minutos;Dado Villalobos,Di Ferrero,Dinho Ouro Preto,Frejat,Herbert Vianna,Pitty,Rogério Flausino,Toni Platão,Zeca Baleiro,Marco Mazzola
Woodstock - Mais Que Uma Loja;2014;Documentários, Musical;136 minutos;Andreas Kisser,Chris Skepis,Felipe Machado,Gastão Moreira,Iggor Cavalera,João Gordo,Marcos Kleine,Max Cavalera,Wladimyr Ratys Marques da Cruz
A Batalha dos 3 Reinos;2008;Ação, Aventura, Drama;147 minutos;Chen Chang,Chiling Lin,Fengyi Zhang,Jun Hu,Shidô Nakamura,Takeshi Kaneshiro,Tony Leung Chiu Wai,Wei Zhao,John Woo
Barney e Seus Amigos - 10ª Temporada;2006;Infantil;20 episódios;Adam Brown,Carey Stinson,Daven Wilson,Dean Wendt,Hayley Sharp,Hunter Pecunia,Jeff Ayers,Kyle Nelson,Fred Holmes
Querido Diário Otário;2013;Comédia, Infantil;87 minutos;David Mazouz,Emily Alyn Lind,James Waterston,Laura Bell Bundy,Lea DeLaria,Maddie Corman,Mary-Charles Jones,Sterling Griffith,Kristin Hanggi
De Coração Partido;2010;Drama, Romance;104 minutos;Abby Brammell,Barry Pepper,Cole Hauser,Kate Levering,Kirk B.R. Woller,L. Scott Caldwell,Maxwell Perry Cotton,Mira Sorvino,Jon Gunn
Elas - Bastidores do Cinema - 2ª Temporada;2013;Documentário;10 episódios;Adriana Falcão,Andrea Barata Ribeiro,Anna Muylaert,Carla Camurati,Laís Bodansky,Lucia Murat,Luciana Vendramini,Mariza Leão,Sandra Werneck,Suzana Amaral,Tata Amaral,Nelson Foerster
Chocante;2017;Comédia;94 minutos;Bruno Garcia,Bruno Mazzeo,Débora Lamm,Klara Castanho,Lúcio Mauro Filho,Marcus Majella,Pedro Neschling,Tony Ramos,Gustavo Bonafé,Johnny Araújo
Laços de Amor;2018;Drama, Comédia, Independente, Romance;113 minutos;David Verdaguer,Geraldine Chaplin,Lara Rossi,Natalia Tena,Oona Chaplin,Philip Arditti,Trevor White,Carlos Marques-Marcet
Uma Dupla Genial;2013;Comédia, Drama, Fantasia;97 minutos;Alex Wolff,Austin Pendleton,Brendan Fraser,Fred Melamed,Greta Lee,Julia Garner,Michael Oberholtzer,Robin de Jesus,Billy Kent
Terror na Ópera;1987;Terror, Suspense;107 minutos;Antonella Vitale,Coralina Cataldi-Tassoni,Cristina Marsillach,Daria Nicolodi,Ian Charleson,Urbano Barberini,William McNamara,Dario Argento
Trip Brasil - Guia de Sabores;2016;Documentários;3 episódios;Não Disponível,Mauricio Jordy
Utopia;2015;Drama, Independente;79 minutos;Arun Bali,Bhasker Patel,Chris Robb,Hannah Spearritt,Homayoun Ershadi,Lesley Sim,Saahil Chadha,Hassan Nazer
Montagem;2013;Drama, Policial;120 minutos;Dae-hwan Oh,Hae-Kyun Jung,Hie-bong Jo,Jeong-hwa Eom,Sang-Kyung Kim,Seung-mok Yoo,Young-chang Song,Geun-seop Jeong
Espécies em Perigo;2021;Ação, Suspense;101 minutos;Brenda Ngeso,Chris Fisher,George Glenn Ouma,Isabel Bassett,Jerry O'Connell,Michael Johnston,Philip Winchester,Rebecca Romijn,M.J. Bassett
O Ano Que Vivemos em Perigo;1982;Romance, Drama;114 minutos;Agoes Widjaya,Bill Kerr,Cecily Polson,Hermino De Guzman,Linda Hunt,Mel Gibson,Michael Murphy,Sigourney Weaver,Peter Weir
Terra Selvagem;2005;Drama, Fé e Espiritualidade;111 minutos;Chad Allen,Chase Ellison,Chemo Mepaquito,Christina Souza,Jack Guzman,Louie Leonardo,Ninabet Bedoya,Sara Kathryn Bakker,Jim Hanon
O Segredo de Marrowbone;2017;Suspense, Terror;110 minutos;Anya Taylor-Joy,Charlie Heaton,George MacKay,Kyle Soller,Matthew Stagg,Mia Goth,Nicola Harrison,Paul Jesson,Sergio G. Sánchez
O Pequeno Mundo de Dante;2016;Animação, Infantil;16 minutos;Não Disponível,Fernando Ferraz,João Godoy Rocha
Um Breve Relato;2018;Documentário, Curta-Metragem;15 minutos;Alexander Buck,Ba Kimbuta,Bruna Black,Eduardo Taddeo,Folha,Juliano Angelin,Unio Mystika,Yzalú,Avelino Regicida
Mazzaropi - Documentário;-1;Documentários, Biografia;96 minutos;Agnaldo Rayol,Ary Toledo,Gustavo Dahl,Hebe Camargo,Marly Marley,Pio Zamuner,Celso Sabadin
Crime em Budapeste;2017;Policial, Drama, Romance, Suspense;90 minutos;Adél Kováts,Franciska Töröcsik,János Kulka,Kata Dobó,Krisztián Kolovratnik,Réka Tenki,Sándor Szûcs,Zsolt Anger,Éva Gárdos
Julgamento;2001;Drama, Ficção Científica, Suspense;101 minutos;Corbin Bernsen,Jessica Steen,Leigh Lewis,Marium Carvell,Michael Copeman,Mr. T,Nick Mancuso,Sandra Caldwell,André van Heerden
A Batalha dos Deuses;2005;Aventura, Ação, Ficção Científica;103 minutos;Bingbing Fan,Bo-lin Chen,Charlene Choi,Nicholas Tse,Steven Cheung,Jeffrey Lau
Através dos Olhos do Meu Pai - A Estória de Ronda Rousey;2019;Documentários;104 minutos;Edmond Tarverdyan,Gary Stretch,Gene LeBell,Gokor Chivichyan,Lucia Rijker,Manvel Gamburyan,Pete Antico,Ronda Rousey,Gary Stretch
Pânico 3;2000;Terror, Suspense;116 minutos;Beth Toussaint,Courteney Cox,Julie Janney,Kelly Rutherford,Liev Schreiber,Neve Campbell,Patrick Dempsey,Richmond Arquette,Wes Craven
Gravidade;2013;Ficção Científica, Drama;90 minutos;Amy Warren,Basher Savage,Ed Harris,George Clooney,,Janis Ahern,Orto Ignatiussen,Phaldut Sharma,Sandra Bullock,Alfonso Cuarón
Os Eleitos - Onde o Futuro Começa;1983;Aventura, Drama;192 minutos;Barbara Hershey,Dennis Quaid,Donald Moffat,Ed Harris,Fred Ward,Lance Henriksen,Sam Shepard,Scott Glenn,Philip Kaufman
Suellen Santos;2013;Shows, Sertanejo;48 minutos;Suellen Santos,Wagner Mendes
Dentro da Caixinha;-1;Curta-Metragem;43 minutos;Adilson Maghá,Cauã Carvalho,Erick Viana,Fernanda Catarina,Leônidas José,Manoela Domingos,Marta Morais,Rute Vianna,Guilherme Reis
A Arte do Amor;2012;Suspense;90 minutos;Barry Phillips,Byrne Davis Jr.,Daniel Dugan,Darby Lynn Totten,Jerome Brooks Jr.,Lindsay Goranson,Nate Dushku,Storm Garner,Mumtaz Hussain
Sorrindo Pra Vida com Eto;2010;Fé e Espiritualidade;100 minutos;Eto,Carlos Eduardo da Silva
Psych 2 - Lassie Está de Volta;2020;Comédia, Mistério, Policial;88 minutos;Allison Miller,Christopher Heyerdahl,Corbin Bernsen,Dulé Hill,James Roday Rodriguez,Jazmyn Simon,Kadeem Hardison,Kirsten Nelson,Kristy Swanson,Kurt Fuller,Maggie Lawson,Richard Schiff,Sage Brocklebank,Sarah Chalke,Timothy Omundson,Steve Franks
Tarzan e as Sereias;1948;Clássico, Ação, Aventura;67 minutos;Andrea Palma,Brenda Joyce,Edward Ashley,Fernando Wagner,George Zucco,John Laurenz,Johnny Weissmuller,Matthew Boulton,Robert Florey
Eu Sou um Gênio - 1ª Temporada;2010;Animação, Infantil;51 episódios;Luiz Antonio,Luiz Laffey,Mauro Castro,Raquel Marinho,Virginie Jallot
Plantando Águas;2014;Curta-Metragem;15 minutos;Cristiane Oliveira,Isis Nóbile,Jaqueline Souza,Marcia Paraiso
Reencontro com a Fé;2014;Fé e Espiritualidade;97 minutos;David Raizor,Elizabeth Corbett,John Denny,Kibwe Dorsey,Michael Santi,Tracy Goode,Victor Jones,Wade Williams,De Miller
Mundo Bita - Bita e a Natureza;2017;Shows, Infantil;34 minutos;Bita,Chaps Melo
As Copas Por Um Clique;2018;Documentários, Independente;66 minutos;Bebeto,Carlos Alberto Parreira,Jairzinho,Juca Kfouri,Romário,Vampeta,Douglas Lima,Jefferson Rodrigues
Operação Secreta;2016;Ação, Suspense;108 minutos;Charmaine Sheh,Francis Chun-Yu Ng,Jimmy Au,Kwok-Fung Chan,Louis Koo,Nick Cheung,Taishen Cheng,Wai-Lim Chak,Jazz Boon
Diário de Luli - 1ª Temporada;2019;Comédia, Infantil;26 episódios;Gustavo Martins,Isadora Demes Fialho,Serena Morais,Jerusa Franco,Marcelo Negri
Um Fim de Semana em Paris;2013;Comédia, Drama, Romance;93 minutos;Déborah Amsellem,Etienne Dalibert,Igor Gotsmanov,Jeff Goldblum,Jim Broadbent,Lindsay Duncan,Olivier Audibert,Sophie-Charlotte Husson,Roger Michell
Ruas em Guerra;2019;Ação, Drama, Policial;91 minutos;Charlie MacGechan,David Castañeda,Elijah Rodriguez,Jean-Claude Van Damme,Jim Caesar,Joana Metrass,Kerry Bennett,Nicholas Sean Johnny,Lior Geller
Quero Ter Um Milhão de Amigos;2015;Comédia, Romance;13 episódios;Bella Marcati,Francisco Guarnieri,Rodrigo Pavon,Victor Mendes,Bernardo Barcellos,Gustavo Rosa de Moura,Leonardo Levis
Até Que a Morte Nos Separe;2017;Suspense, Policial;101 minutos;Annie Ilonzeh,Draya Michele,Malik Yoba,Obba Babatundé,Robinne Lee,Stephen Bishop,Suzanne Whang,Taye Diggs,Chris Stokes
Um Sonho na Índia;2017;Comédia, Musical, Romance;106 minutos;Brie Larson,Dan Baron,Donald Sutherland,Lakshmi Manchu,Saahil Sehgal,Scott Bakula,Tyne Daly,Utkarsh Ambudkar,Dan Baron
Where's the Money;2017;Comédia;85 minutos;Andrew Bachelor,Devon Werkheiser,Josh Brener,Kat Graham,Logan Paul,Method Man,Mike Epps,Retta,Terry Crews,Scott Zabielski
O MAKING OF DE FRAGILE FUTURE;2015;Curta-Metragem, Cinema;3 minutos;"RALPH NAUTA; LONNEKE GORDIJN,RALPH NAUTA; LONNEKE GORDIJN"
O Estado das Coisas;2017;Comédia, Drama;101 minutos;Austin Abrams,Ben Stiller,Jemaine Clement,Jenna Fischer,Luke Wilson,Michael Sheen,Mike White,Shazi Raja,Mike White
Morando com o Medo;2016;Terror, Suspense;87 minutos;Blake Jenner,Dorian Kingi,Erin Moriarty,JoBeth Williams,Michael Vartan,Misty Upham,Nadine Velazquez,Ronnie Gene Blevins,Tom Wright,Phil Claydon
Deixe-o Partir;2020;Policial, Drama, Suspense;114 minutos;Booboo Stewart,Bradley Stryker,Diane Lane,Jeffrey Donovan,Kayli Carter,Kevin Costner,Lesley Manville,Ryan Bruce,Will Brittain,Thomas Bezucha
O Bicho Vai Pegar;2006;Animação, Aventura;86 minutos;Ashton Kutcher,Billy Connolly,Debra Messing,Gary Sinise,Jane Krakowski,Jon Favreau,Martin Lawrence,Matthew Taylor,Jill Culton
O Super Lobista;2010;Comédia, Biografia, Policial;106 minutos;Barry Pepper,Graham Greene,Hannah Endicott-Douglas,Jason Weinberg,John Robinson,Kevin Spacey,Ruth Marshall,Spencer Garrett,George Hickenlooper
O Tesouro de Sierra Madre;1948;Drama, Aventura, Clássico, Western;125 minutos;Alfonso Bedoya,Arturo Soto Rangel,Barton MacLane,Bruce Bennett,Humphrey Bogart,Manuel Dondé,Tim Holt,Walter Huston,John Huston
HellBoy;2004;Ação, Aventura, Comédia;121 minutos;Brian Steele,Corey Johnson,Doug Jones,Jeffrey Tambor,John Hurt,Ron Perlman,Rupert Evans,Selma Blair,Guillermo del Toro
Ultra Galaxy Fight: Heróis da Nova Geração;2019;Ação, Ficção Científica;58 minutos;Arisa Sonohara,Hideo Ishiguro,Kensuke Takahashi,Kiyotaka Uji,Mamoru Miyano,Takuya Negishi,Tatsuomi Hamada,Wataru Komada,Yuya Hirata,Koichi Sakamoto
Partido Alto;1982;Documentário, Curta-Metragem, Musical;22 minutos;Alberto Lonato,Argemiro,Candeia,Casquinha da Portela,Joãozinho da Pecadora,Manacéia,Osmar do Cavaco,Paulinho da Viola,Leon Hirszman
Os 10 mandamentos para crianças - O Bezerro de Ouro;2000;Fé e Espiritualidade, Infantil, Infantil, Kids;27 minutos;Brian Cummings (Voice),Chris Marquette (Voice),Jeannie Elias (Voice),Jesse Corti (Voice),Jodi Benson (Voice),Maurice Lamarche (Voice),Mona Marshall (Voice),Paul Winfield (Voice),Ken C. Johnson,Richard Rich
Minha Linda Garota, Mari;2002;Animação, Drama, Fantasia;78 minutos;Bae Chong-Ok,Hang-Seon Jang,Kong Hyeong-Jin,Lee Byung-hun,Na Moon Hee,Seong-gang Lee
Por um Punhado de Dólares;1964;Clássico, Western;98 minutos;Aldo Sambrell,Bruno Carotenuto,Clint Eastwood,Gian Maria Volonte,José Calvo,Joseph Egger,Margarita Lozano,Marianne Koch,Sergio Leone
Série Sacramentos 1 - Introdução Geral - Batismo - Confirmação;2005;Fé e Espiritualidade;37 minutos;Ir. Helena Corazza,Ir. Ivonete Kurten,Ir. Nery,Pe. Dagoberto Boim,Pe. Miltom de Lima,Pricila Aloi,Ir. M. Gloria Bordeghini
Toc - Transtornada, Obsessiva, Compulsiva;2017;Comédia;106 minutos;Bruno Gagliasso,Daniel Furlan,Ingrid Guimarães,Luis Lobianco,Mário Gomes,Pedro Wagner,Tatá Werneck,Vera Holtz,Paulinho Caruso,Teo Poppovick
The Honourable Woman;2014;Drama, Suspense;8 episódios;Andrew Buchan,Lubna Azabal,Maggie Gyllenhaal,Stephen Rea,Não Disponível
Punhos de Serpente;1978;Ação, Comédia;97 minutos;Dean Shek,Hark-On Fung,Jackie Chan,Jang Lee Hwang,Lung Chan,Siu Tien Yuen,Woo-ping Yuen
Rock Dog - No Faro do Sucesso;2016;Animação, Infantil;89 minutos;Eddie Izzard,J.K. Simmons,Jorge García,Kenan Thompson,Lewis Black,Luke Wilson,Mae Whitman,Sam Elliott,Ash Brannon
Zulu;1964;Clássico, Drama;138 minutos;Glynn Edwards,Jack Hawkins,James Booth,Michael Caine,Nigel Green,Patrick Magee,Stanley Baker,Ulla Jacobsson,Cy Endfield
Hora de Recomeçar;2018;Drama, Fé e Espiritualidade;88 minutos;Arthur Marroquin,Brighton Sharbino,C. Thomas Howell,Candice Michele Barley,Dean J. West,Jason London,Lou Diamond Phillips,Saxon Sharbino,Teddy Smith
A Garota Húngara;2015;Drama, Suspense;87 minutos;Dorka Gryllus,Ernõ Fekete,János Kulka,Károly Hajduk,Katalin Takács,Laura Döbrösi,Patricia Kovács,Péter Sándor,Attila Szász
Mergulho Profundo;2013;Suspense, Aventura;111 minutos;Aksel Hennie,André Eriksen,Ane Dahl Torp,Jonathan LaPaglia,Jørgen Langhelle,Stephanie Sigman,Stephen Lang,Wes Bentley,Erik Skjoldbjærg
Brichos 1;2006;Animação, Infantil;77 minutos;Fabiula Nascimento,Marino Junior,Mário Schoemberger,Michelle Pucci,Renet Lyon,Paulo Munhoz,Tadao Miaqui
Arlindo Neto - Um Bom Aprendiz - Ao Vivo;2010;Shows, Samba / Pagode;90 minutos;Arlindo Neto,Milton Manhães
Fanátic@s - 1ª Temporada;2016;Ficção, Comédia;13 episódios;Adriano de Brito,Bruno Malucelli,Camila Turim,Ivo Müller,João Otávio,Márcio Américo,Naruna Costa,Raul Ferreira,Everson José Faganello
Summer Heights High - 1ª Temporada;2008;Comédia;8 episódios;Asolima Tauati,Chris Lilley,David Lennie,Iro Utaifeau,Kristy Barnes-Cullen,Ofa Palu,Zach Fa'atoe,Stuart McDonald
Billy e Catarina;2003;Animação, Infantil;13 episódios;Caio Muniz,Vera Pessoa,Belisario Franca,Bianca Lenti,Ducca Rios
Amizade Colorida;2011;Comédia, Romance;105 minutos;Bryan Greenberg,Emma Stone,Jenna Elfman,Justin Timberlake,Mila Kunis,Patricia Clarkson,Richard Jenkins,Woody Harrelson,Will Gluck
Teleco e Teco Nova Geração;2017;Animação, Infantil;41 minutos;Angela Oliveira Girão,Fernando Ferreira Gomes,Grazi Cristina da Silva,Jedsom Kárta,João Victor Conte,Lucas Godoy,Renata Santos Arbenz,Rodrigo Maiellaro,Celso Rossini Soldi,Egio Sales Pessoa,Roberto Ornellas,Robson Honorato de Oliveira
Eles Estão Expostos;2019;Suspense, Drama;107 minutos;Addison Foskey,Alyssa Beth,Brock Hartley,Dean Cain,Jenelle Baptiste,Martin Palmer,Megan Elisabeth Kelly,Roy Kenny,Travis Thoms
O Terapeuta;2017;Suspense, Policial;81 minutos;Helen Evans,Robert Woodhall,Simon Nader,Tia Benbow-Hart,Tianna Nori,Warren Brooking,Richard J. Perry
Satyricon de Fellini;1969;Clássico, Drama;128 minutos;Alain Cuny,Capucine,Hiram Keller,Magali Noël,Mario Romagnoli,Martin Potter,Max Born,Salvo Randone,Federico Fellini
Brightburn - Filho Das Trevas;2019;Terror, Ficção Científica;90 minutos;Abraham Clinkscales,Christian Finlayson,David Denman,Elizabeth Banks,Emmie Hunter,Jackson A. Dunn,Jennifer Holland,David Yarovesky
Peixonauta - 2ª Temporada;2013;Infantil, Animação;27 episódios;Celso Alves,Fabio Lucindo,Fernanda Bullara,Jussara Marques,Raphael Ferreira,Renato Márcio,Rogério Viggiani,Tatá Guarnieri,Celia Catunda,Kiko Mistrorigo
Um Beijo Roubado;2007;Drama, Romance;94 minutos;Chad R. Davis,David Strathairn,Demetrius Butler,Frankie Faison,John Malloy,Jude Law,Katya Blumenberg,Norah Jones,Kar Wai Wong
Tom e Jerry - Véspera de Natal;1941;Animação, Infantil;30 minutos;Jerry,Tom,Joseph Barbera,William Hanna
Máscara Negra;1996;Clássico, Ação;88 minutos;Anthony Wong,Françoise Yip,Jet Li,Karen Mok,Kong Lung,Lau Ching Wan,Moses Chan,Xin Xin Xiong,Daniel Lee
Anjos da Guarda - 1ª Temporada;2014;Drama, Documentários, Suspense;16 episódios;Não Disponível,Beto Ribeiro,Carla Albuquerque
Regeneração Humana;2004;Drama, Ficção Científica;79 minutos;Charles Officer,Clark Johnson,Delphine Roussel,Ingrid Veninger,Jackie Burroughs,Jacob Switzer,Julian Richings,Peter Stebbings,Anais Granofsky
O Tambor;1979;Clássico, Drama;162 minutos;Andréa Ferréol,Angela Winkler,Charles Aznavour,David Bennent,Heinz Bennent,Helmut Brasch,Katharina Thalbach,Mario Adorf,Volker Schlöndorff
Sonita;2015;Documentários;90 minutos;Não Disponível,Rokhsareh Ghaem Maghami
Rampage - Destruição Total;2018;Ação, Ficção Científica;107 minutos;Dwayne Johnson,Jake Lacy,Jeffrey Dean Morgan,Joe Manganiello,Malin Åkerman,Marley Shelton,Naomie Harris,P.J. Byrne,Brad Peyton
A Família Dionti;2015;Ficção, Drama, Fantasia, Romance;96 minutos;Alisson Minas,Anna Luiza Marques,Antonio Edson,Bernardo Lucindo,Bia Bedran,Fernando Bohrer,Gero Camilo,Julia Bonz,Maria Julia Garcia,Murilo Quirino,Myraci A Junior,Neila Tavares,Alan Minas
A Felicidade Não se Compra;1946;Clássico, Drama, Fantasia;130 minutos;Beulah Bondi,Donna Reed,Frank Faylen,Henry Travers,James Stewart,Lionel Barrymore,Thomas Mitchell,Ward Bond,Frank Capra
Mundo Maior Debate - Crise Econômica;2016;Fé e Espiritualidade, Documentário;87 minutos;Não Disponível,André Marouço
Luz: A Flor do Mal;2019;Fantasia, Terror;104 minutos;Jim Muñoz,Sharon Guzman,Yuri Vargas,Juan Diego Escobar Alzate
L’allieva - A Boa Aprendiz - 1ª Temporada;2016;Comédia, Mistério, Policial;6 episódios;Alessandra Mastronardi,Chiara Mastalli,Dario Aita,Emmanuele Aita,Francesca Agostini,Giselda Volodi,Jun Ichikawa,Lino Guanciale,Michele di Mauro,Pierpaolo Spollon,Luca Ribuoli,Peter Exacoustos
Deixados Para Trás;2000;Ação, Drama, Fantasia, Ficção Científica, Suspense;99 minutos;Brad Johnson,Chelsea Noble,Clarence Gilyard Jr.,Colin Fox,Daniel Pilon,Gordon Currie,Janaya Stephens,Kirk Cameron,Vic Sarin
Outsider;2016;Suspense, Biografia;117 minutos;Arthur Dupont,François-Xavier Demaison,Franz-Rudolf Lang,Mhamed Arezki,Sabrina Ouazani,Sören Prévost,Tewfik Jallab,Thomas Coumans,Christophe Barratier
Ripper Street - 1ª Temporada;2012;Drama, Policial;8 episódios;Adam Rothenberg,Amanda Hale,Charlene McKenna,Clive Russell,David Dawson,Jerome Flynn,Matthew Macfadyen,MyAnna Buring,Richard Warlow
Constantino;2011;Documentários;78 minutos;Otavio Cury,Otavio Cury
Preso no Tempo;2016;Ação, Aventura, Ficção Científica;85 minutos;Byron Gibson,Damian Mavis,David Bueno,Dean Alexandrou,Natalie Lorence,Richard Dee-Roberts,Selina Lo,Yulduz Clarke,Daniel Zirilli
Um Jovem Com Muito Potencial;2018;Suspense, Drama;86 minutos;Adam Ild Rohweder,Amanda Plummer,Laurence Roothooft,Paulina Galazka,Pit Bukowski,Prodromos Antoniadis,Sheraz Khan,Vania Bajdarova,Linus de Paoli
The Secret River;2015;Drama, Aventura;84 minutos;Angus Pilakui,Finn Scicluna-O Prey,Huw Higginson,Lachy Hulme,Oliver Jackson-Cohen,Rory Potter,Sarah Snook,Tim Minchin,Trevor Jamieson,Daina Reid
Fontes de Vida - O Criador dá Vida a Tudo;2011;Fé e Espiritualidade;66 minutos;Sarah Firmo,Sérgio Ribeiro,Maria Ida Cappellari
